date,ts_ms,equity
2025-08-28,1756339200000,1845.4927660938527
2025-08-29,1756425600000,1812.5848423209334
2025-08-30,1756512000000,1745.2807246464718
2025-08-31,1756598400000,1709.2285228552191
2025-09-01,1756684800000,1708.4655886324251
2025-09-02,1756771200000,1624.9529906967268
2025-09-03,1756857600000,1646.5856011522085
2025-09-04,1756944000000,1668.1363678026128
2025-09-05,1757030400000,1684.0650194954223
2025-09-06,1757116800000,1781.0035906275798
2025-09-07,1757203200000,1780.3409739012784
2025-09-08,1757289600000,1767.0103497758193
2025-09-09,1757376000000,1754.6631771694344
2025-09-10,1757462400000,1758.9347542156331
2025-09-11,1757548800000,1776.2131097707365
2025-09-12,1757635200000,1801.9520343151016
2025-09-13,1757721600000,1814.1801640405465
2025-09-14,1757808000000,1857.481990011579
2025-09-15,1757894400000,1802.027470876138
2025-09-16,1757980800000,1754.2875676693154
2025-09-17,1758067200000,1766.4254955987287
2025-09-18,1758153600000,1742.9521518998863
2025-09-19,1758240000000,1752.5011278932188
2025-09-20,1758326400000,1713.8539358582807
2025-09-21,1758412800000,1680.6804485655716
2025-09-22,1758499200000,1738.2612715334644
2025-09-23,1758585600000,1636.057546982539
2025-09-24,1758672000000,1685.0998991845577
2025-09-25,1758758400000,1736.1882048221537
2025-09-26,1758844800000,1700.1883423951663
2025-09-27,1758931200000,1688.3929100768928
2025-09-28,1759017600000,1772.4224022008752
2025-09-29,1759104000000,1708.8036136254184
2025-09-30,1759190400000,1682.673712609587
2025-10-01,1759276800000,1684.579543276579
2025-10-02,1759363200000,1681.9940398755632
2025-10-03,1759449600000,1697.922991697571
2025-10-04,1759536000000,1760.6916807022212
2025-10-05,1759622400000,1713.6557317951974
2025-10-06,1759708800000,1737.457085377941
2025-10-07,1759795200000,1741.0241093405252
2025-10-08,1759881600000,1644.3401825139406
2025-10-09,1759968000000,1613.7999791812188
2025-10-10,1760054400000,1579.6145183971428
2025-10-11,1760140800000,1478.6163970385028
2025-10-12,1760227200000,1507.6852826725199
2025-10-13,1760313600000,1507.6852826725199
2025-10-14,1760400000000,1476.423428336305
2025-10-15,1760486400000,1475.869769550679
2025-10-16,1760572800000,1459.2360149696328
2025-10-17,1760659200000,1439.2715758261716
2025-10-18,1760745600000,1380.721554904896
2025-10-19,1760832000000,1387.1010969403142
2025-10-20,1760918400000,1396.0538134781818
2025-10-21,1761004800000,1399.7979885855395
2025-10-22,1761091200000,1433.6991509276072
2025-10-23,1761177600000,1390.0789644133517
2025-10-24,1761264000000,1404.2913355083306
2025-10-25,1761350400000,1404.2913355083306
2025-10-26,1761436800000,1403.7559170498753
2025-10-27,1761523200000,1421.1835417576608
2025-10-28,1761609600000,1395.615946299603
2025-10-29,1761696000000,1372.3792333165843
2025-10-30,1761782400000,1377.7334088607931
2025-10-31,1761868800000,1378.297566035069
2025-11-01,1761955200000,1378.297566035069
2025-11-02,1762041600000,1371.4387343643432
2025-11-03,1762128000000,1371.4387343643432
2025-11-04,1762214400000,1385.2050825956865
2025-11-05,1762300800000,1384.1700746730344
2025-11-06,1762387200000,1300.440461242607
2025-11-07,1762473600000,1300.440461242607
2025-11-08,1762560000000,1299.952796069641
2025-11-09,1762646400000,1272.9921849718942
2025-11-10,1762732800000,1262.0240026726192
2025-11-11,1762819200000,1267.2152296432268
2025-11-12,1762905600000,1214.4249345656995
2025-11-13,1762992000000,1171.4306286671338
2025-11-14,1763078400000,1171.0525040945217
2025-11-15,1763164800000,1131.2438013978526
2025-11-16,1763251200000,1130.8195849723284
2025-11-17,1763337600000,1097.2692902762133
2025-11-18,1763424000000,1090.4648697984896
2025-11-19,1763510400000,1103.9866492733604
2025-11-20,1763596800000,1080.6900752933893
